"","data:Lot Created On","data:Lot Opened On","data:Work Commenced On","data:Work Completed On","data:Work Completed On","data:Lot Type","data:From and To Chainage","data:Construction Element","data:Activity","data:Design Package No","data:Traffic Direction","data:Engineer Responsible","data:comments","data:Print Name:","data:Date:","data:Lot verified By","data:Is the relevant NCR attached to the Lot?","data:Lot Status","data:Lot Closed On"
"ITP-017-A1-LOT-035 - Stormwater Drainage - Pit 090 to Pit 346 - BTW Bridgewater Rd to Clovelly Dr","15/09/2022","14/09/2022","14/09/2022","15/09/2023",,"","14985 - 15075","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","","EB - Eastbound","James Moran","","James Moran","13/01/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","20/01/2023"
"ITP-017-A1-LOT-036 - RCP (450mm) Drainage - Pit 199 to Pit 331 - Hardy East St","14/09/2022","14/09/2022","15/09/2022","",," DRL- Drainage Lot","CH100 to CH121","",""," 1145-ACM-CVD-DPK-0004"," WB - Westbound","Qassim Al-Montafjy","","","","","","",""
"ITP-017-A1-LOT-037 - RCP (900mm) Drainage - Pit 094 to Pit 017-1 to Pit 017 - BTW Selwyn Ave and Bridgewater Rd","15/09/2022","15/09/2022","17/09/2022","",," DRL- Drainage Lot","15273.06 to 15273.39","STOR - Stormwater","STOR - DRAP Drainage ÊÊ"," 1145-ACM-CVD-DPK-0004","EB - Eastbound","Philip Klenkowski","Pit 094 to Pit 017-1 - RCP (900mm) Drainage - BTW Selwyn Ave and Bridgewater","","","","","",""
"ITP-017-A1-LOT-038 - RCP (375mm) Drainage - Pit 118 to Pit 328 - Bridgewater Rd","15/09/2022","15/09/2023","15/09/2023","",," DRL- Drainage Lot","15109 to 15095.44","STOR - Stormwater","STOR - DRAP Drainage ÊÊ"," 1145-ACM-CVP-DPK-0002","EB - Eastbound","Philip Klenkowski"," Pit 118 to Pit 328 -RCP (375mm) Drainage - Bridgewater Rd","","","","","",""
"ITP-017-A1-LOT-039 - RCP (900mm) Drainage - Pit 302 to Pit 259-1 to Pit 259 - Rayfield AVE","15/09/2022","15/09/2022","17/09/2022","23/09/2022",," DRL- Drainage Lot","15505 to 15507","STOR - Stormwater","STOR - DRAP Drainage ÊÊ"," 1145-ACM-CVP-DPK-0002","EB - Eastbound","Philip Klenkowski","Pit 302 to Pit 259-1 -RCP (900mm) Drainage -  Rayfield AVE","Khulood","10/10/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","28/10/2022"
"ITP-017-A1-LOT-040 - RCP (300mm) Drainage - Pit 328 to Pit 133 - Bridgewater Rd","15/09/2022","16/09/2022","16/09/2022","",," DRL- Drainage Lot","15095.33 to 15095.44","STOR - Stormwater","STOR - DRAP Drainage ÊÊ"," 1145-ACM-CVP-DPK-0002","EB - Eastbound","Philip Klenkowski","Pit 328 to Pit 133 - RCP (300mm) Drainage - Bridgewater Rd","","","","","",""
"ITP-017-A1-LOT-041 - RCP (300mm) Drainage - Pit 133 to Pit 337 - Bridgewater Rd","15/09/2022","28/09/2022","28/09/2022","1/10/2022",," DRL- Drainage Lot","15095.29 to 15095.44","STOR - Stormwater","STOR - DRAP Drainage ÊÊ"," 1145-ACM-CVP-DPK-0002","EB - Eastbound","James Moran","Pit 133 to Pit 337 -RCP (300mm) Drainage - Bridgewater Rd","James Moran","25/01/2023","","","",""
"ITP-017-A1-LOT-042 - RCP (900mm) Drainage - Pit 259 - Pit 259-1  - Rayfield AVE","","","","",,"","","","","","","Philip Klenkowski","","","","","","",""
"ITP-017-A1-LOT-043 - Stormwater Drainage - Pit 346 to Pit 114 - BTW Bridgewater Rd to Clovelly Dr","15/09/2022","15/09/2022","15/09/2022","15/09/2022",," DRL- Drainage Lot","15039.72 to 15066.92","STOR - Stormwater","STOR - DRAP Drainage ÊÊ"," 1145-ACM-CVD-DPK-0004"," WB - Westbound","James Moran","Stormwater Drainage line BTW Pit 346 to Pit 114 - BTW Bridgewater Rd to Clovelly Dr","James Moran","13/01/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","20/01/2023"
"ITP-017-A1-LOT-044 - RCP (375mm) Drainage - Pit 142 to Pit 299 - Plumpton Ave","19/09/2022","","","",," DRL- Drainage Lot","15630 to 15638","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","1145-ACM-CVD-DPK-0002","EB - Eastbound","Khulood Hwayyis","","","","","","",""
"ITP-017-A1-LOT-045 - RCP (450mm) Drainage - Pit 255 to Pit 088 - Bridgewater Rd","19/09/2022","20/09/2022","20/09/2022","20/01/2023",," DRL- Drainage Lot","15096.71 to 15137.09","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","1145-ACM-CVD-DPK-0002"," WB - Westbound","Khulood Hwayyis","","Khulood Hwayyis","16/02/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","24/02/2023"
"ITP-017-A1-LOT-046 - RCP (375mm) Drainage - Pit 113 to Pit 255 - Bridgewater Rd","27/09/2022","27/09/2022","27/09/2022","14/10/2022",," DRL- Drainage Lot","CH15076 - CH15095","STOR - Stormwater","STOR - DRAP Drainage ÊÊ"," 1145-ACM-CVD-DPK-0004","EB - Eastbound","JAMES MORAN","","KHULOOD HWAYYIS","31/10/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","9/12/2022"
"ITP-017-A1-LOT-047 - RCP (300mm) Drainage - Pit 117 to Pit 337 - Bridgewater Rd","27/09/2022","27/09/2022","27/09/2022","23/09/2022",," DRL- Drainage Lot","CH15085 - CH15094","STOR - Stormwater","STOR - DRAP Drainage ÊÊ"," 1145-ACM-CVD-DPK-0004","EB - Eastbound","James Moran","","KHULOOD HWAYYIS","31/10/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","25/11/2022"
"ITP-017-A1-LOT-048 - RCP (1200mm) Drainage - Pit 250 to Pit 270 - Z4 Craigieburn Rd-EB-Occu.","27/09/2022","27/09/2022","27/09/2022","",," DRL- Drainage Lot","CH24079 - CH24080","STOR - Stormwater","","","EB - Eastbound","Philip Klenkowski","","","","","","",""
"ITP-017-A1-LOT-049 - RCP (1200mm) Drainage - Pit 270 to Pit 274 - Z4 Craigieburn Rd-EB-Occu.","27/09/2022","27/09/2022","29/09/2022","",," DRL- Drainage Lot","CH24080 - CH24123","STOR - Stormwater","","","","Philip Klenkowski","","","","","","",""
"ITP-017-A1-LOT-050 - RCP (1200mm) Drainage - Pit 274 to Pit 266 - Z4 Craigieburn Rd-EB-Occu.","27/09/2022","27/09/2022","27/09/2022","25/09/2022",," DRL- Drainage Lot","CH24124 - CH24157","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","1145-ACM-CVD-DPK-0002"," ME - Median","Philip Klenkowski ","","KHULOOD HWAYYIS","31/10/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","25/11/2022"
"ITP-017-A1-LOT-051 - RCP (1200mm) Drainage - Pit 266 to Pit 261 - Z4 Craigieburn Rd-EB-Occu.","28/09/2022","28/09/2022","28/09/2022","",,"","CH24158 - CH24195 ","STOR - Stormwater","","","","","","","","","","",""
"ITP-017-A1-LOT-052 - SP (375mm) Drainage - Pit 001 - Pit 166 - Memorial Park - WB ","06/10/2022","06/10/2022","06/10/2022","12/03/2023",,"","CH16160 - CH161674","STOR - Stormwater","STOR - DRAP Drainage ÊÊ",""," WB - Westbound","Philip Klenkowski","","Philip Klenkowski","29/03/2023","","","",""
"ITP-017-A1-LOT-053 - RCP (300mm) Drainage - Pit 166 - Pit 271 - Memorial Park - WB","06/10/2022","06/10/2022","06/10/2022","",,"","CH16174 - CH16175 ","STOR - Stormwater","STOR - DRAP Drainage ÊÊ",""," WB - Westbound","Philip Klenkowski","","","","","","",""
"ITP-017-A1-LOT-054 - SP (375mm) Drainage - Pit 166 - Pit 166-1 - Memorial Park - WB","06/10/2022","06/10/2022","06/10/2022","13/02/2023",,"","CH16175 - CH16184","STOR - Stormwater","STOR - DRAP Drainage ÊÊ",""," WB - Westbound","Philip Klenkowski ","","Philip Klenkowski","29/03/2023","","","",""
"ITP-017-A1-LOT-055 - SP (375mm) Drainage - Pit 166-1 - Pit 166-2 - Memorial Park - WB","06/10/2022","06/10/2022","06/10/2022","",,"","CH16183 - CH16198","STOR - Stormwater","STOR - DRAP Drainage ÊÊ",""," WB - Westbound","Philip Klenkowski","","","","","","",""
"ITP-017-A1-LOT-056 - SP (375mm) Drainage - Pit 166-2 - Pit 166-3 - Memorial Park - WB","06/10/2022","06/10/2022","06/10/2022","29/03/2023",,"","CH16198 - CH16217","STOR - Stormwater","STOR - DRAP Drainage ÊÊ",""," WB - Westbound","Philip Klenkowski","","Philip Klenkowski","29/03/2023","","","",""
"ITP-017-A1-LOT-057 - SP (375mm) Drainage - Pit 166-3 - Pit 070 - Memorial Park - WB","06/10/2022","06/10/2022","06/10/2022","29/03/2023",," DRL- Drainage Lot","CH16217 - CH16238","STOR - Stormwater","STOR - DRAP Drainage ÊÊ",""," WB - Westbound","Philip Klenkowski","","Philip Klenkowski","29/03/2023","","","",""
"ITP-017-A1-LOT-058 - SP (375MM) DRAINAGE -pit 113 to pit 114","07/10/2022","07/10/2022","14/10/2022","10/10/2023",," DRL- Drainage Lot","15066 to 15075","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","1145-ACM-CVD-DPK-0002"," WB - Westbound","James Moran","","James Moran","25/01/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","3/02/2023"
"ITP-017-A1-LOT-059 - RCP (375MM) DRAINAGE - pit 113 to pit 297","10/10/2022","20/10/2022","20/10/2022","",," DRL- Drainage Lot","CH 15075.68 to CH 15074.00 ","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","1145-ACM-CVD-DPK-0002","EB - Eastbound","","","","","","","",""
"ITP-017-A1-LOT-060 - RCP (300MM) DRAINAGE - Pit 053 to Pit 053-1","","","","",,"","","","","","","","","","","","","",""
"ITP-017-A1-LOT-061 - RCP (300mm) DRAINAGE - Pit 113 to Pit 120","10/10/2022","19/10/2022","19/10/2022","24/10/2022",," DRL- Drainage Lot","15078.59 TO 15051.98","STOR - Stormwater","STOR - DRAP Drainage ÊÊ"," 1145-ACM-CVD-DPK-0004","EB - Eastbound","JAMES MORAN","","KHULOOD HWAYYIS","31/10/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","25/11/2022"
"ITP-017-A1-LOT-062 - RCP (375mm) DRAINAGE - Pit 037 to Pit 326","10/10/2022","","","",,"","","","","","","","","","","","","",""
"ITP-017-A1-LOT-063 - RCP (375mm) DRAINAGE - Pit 037 to Pit 037a","","","","",,"","","","","","","","","","","","","",""
"ITP-017-A1-LOT-064 - RCP (750mm) - P359 - P001 - Memorial Park WB","17/10/2022","22/10/2022","22/10/2022","29/03/2023",,"","CH16149 - CH16160 ","","","","","Philip Klenkowski","","Philip Klenkowski","29/03/2023","","","",""
"ITP-017-A1-LOT-065 - RCP (600mm) - P064 - P384-3 - Hanson Rd Intersection CM","17/10/2022","17/10/2022","17/10/2022","",,"","CH15749 - CH15790","STOR - Stormwater","","","","Philip Klenkowski","","","","","","",""
"ITP-017-A1-LOT-066 - (300mm) RCP Cl3 - Drainage line P342 to P120-1 - Z3 ","26/10/2022","26/10/2022","24/10/2022","",,"","15010 - 15040","STOR - Stormwater","STOR - DRAP Drainage ÊÊ",""," WB - Westbound","James Moran","","","","","","",""
"ITP-017-A1-LOT-067 - Stormwater Drainage - Pit 090 to Pit 135 - BTW Bridgewater Rd to Clovelly Dr","20/10/2022","20/10/2022","20/10/2022","",," DRL- Drainage Lot","14986","STOR - Stormwater","STOR - DRAP Drainage ÊÊ"," 1145-ACM-CVD-DPK-0004"," WB - Westbound","James Moran","","James Moran","18/04/2023","","","",""
"ITP-017-A1-LOT-068 - SP (750mm) Drainage - Pit 001 - Pit 007 - Memorial Park - Bullnose","02/11/2022","02/11/2022","02/11/2022","",,"","CH16160 - CH16159","","","","","Qassim Al-Montafjy","","","","","","",""
"ITP-017-A1-LOT-069 - SP (375mm) Drainage - Pit 007 - Pit 008 - Memorial Park _ Center Median","01/11/2022","01/11/2022","01/11/2022","25/03/2023",," DRL- Drainage Lot","CH16151 - CH16159","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","","","Philip Klenkowski","","Philip Klenkowski","29/03/2023","","","",""
"ITP-017-A1-LOT-070 - SP (750mm) Drainage - Pit 007- Pit 182 - Memorial Park _ Center Median","06/11/2022","06/11/2022","06/11/2022","",,"","C16160 - CH16159","","","","","Qassim Al-Montafjy","","Philip Klenkowski","29/03/2023","","","",""
"ITP-017-A1-LOT-071 - SP (375mm) Drainage - Pit 182 -1 - Pit 004 - Memorial Park _ Center Median","11/11/2022","11/11/2022","11/11/2022","",,"","CH16204 - CH16160","","","","","Qassim Al-Montafjy","","Philip Klenkowski","","","","",""
"ITP-017-A1-LOT-072 - SP (375mm) Drainage - Pit 004 - Pit 006 - Memorial Park _ Center Median","10/11/2022","10/11/2022","10/11/2022","",," DRL- Drainage Lot","Pit 004 to Pit 006","STOR - Stormwater","STOR - DRAP Drainage ÊÊ"," 1145-ACM-CVD-DPK-0004","EB - Eastbound","Qassim Al-Montafjy","","Philip Klenkowski","","","","",""
"ITP-017-A1-LOT-073 - SP (375mm) Drainage - Pit 006 - Pit 006-1 - Memorial Park _ Center Median","08/11/2022","08/11/2022","08/11/2022","25/03/2023",," DRL- Drainage Lot","Pit 006 to 006-1","STOR - Stormwater","STOR - DRAP Drainage ÊÊ"," 1145-ACM-CVD-DPK-0004","EB - Eastbound","Qassim Al-Montafjy","","Philip Klenkowski","30/03/2023","","","",""
"ITP-017-A1-LOT-074- SP (375mm) Drainage - Pit 006-1 - Pit 349 - Memorial Park _ Center Median","08/11/2022","08/11/2022","08/11/2022","25/02/2023",," DRL- Drainage Lot","Pit 006-1 to Pit 349","STOR - Stormwater","STOR - DRAP Drainage ÊÊ"," 1145-ACM-CVD-DPK-0004","EB - Eastbound","Qassim Al-Montafjy","","Philip Klenkowski","30/03/2023","","","",""
"ITP-017-A1-LOT-075 - SP (375mm) Drainage - Pit 349- Pit 009 - Memorial Park _ Center Median","10/11/2023","10/11/2023","10/11/2023","25/03/2023",,"","CH16256 - CH16234","","","","","Philip Klenkowski","","Philip Klenkowski","30/03/2023","","","",""
"ITP-017-A1-LOT-076 - Stormwater Drainage - Pit 088 to Pit 194 - BTW Bridgewater Rd to Belsay Pl","25/10/2022","","","",," DRL- Drainage Lot","15136.80 to 15166.26","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","1145-ACM-CVD-DPK-0002","EB - Eastbound","","","","","","","",""
"ITP-017-A1-LOT-077 - 450mm Stormwater Drainage - Pit 194 to Pit 086 - BTW Bridgewater Rd to Belsay Pl","6/12/2022","6/11/2022","7/11/2022","",,"","Pit 194 - 086","STOR - Stormwater","STOR - DRAP Drainage ÊÊ",""," WB - Westbound","James Moran","","","","","","",""
"ITP-017-A1-LOT-078 - 900mm RCP pipe - Pit 086 to Pit 052 - BTW Bridgewater Rd to Belsay Pl","","","","",,"","","","","","","","","","","","","",""
"ITP-017-A1-LOT-079 - 900mm RCP pipe - Pit 052 to Pit 084 - BTW Bridgewater Rd to Belsay Pl","","","","",,"","","","","","","Qassim Al-Montafjy","","","","","","",""
"ITP-017-A1-LOT-080 - 900mm RCP pipe - Pit 084 to Pit 017 - BTW Bridgewater Rd to Belsay Pl","","","","",,"","","","","","","","","","","","","",""
"ITP-017-A1-LOT-081 - 525 RCP - P035 - P384 - Hanston St x Craigieburn Rd Xing","03/11/2022","03/11/2022","03/11/2022","",,"","CH15902 - CH15918","","","","","Philip Klenkowski","","","","","","",""
"ITP-017-A1-LOT-082 - 375RCP - P261 - P261-1 - 005 - Walter St Xing (Walter St Occo)","09/11/2022","09/11/2022","","",,"","CH16152 - CH16156","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","","","Philip Klenkowski","","","","","","",""
"ITP-017-A1-LOT-083 - 450RCP - P199 - P282 - Walter St Xing (Walter St Occo)","14/11/22","14/11/22","14/11/22","",," DRL- Drainage Lot","CH16136 - CH16152","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","","EB - Eastbound","Philip Klenkowski","","","","","","",""
"ITP-017-A1-LOT-084 - SP (375mm) Drainage - Pit 009- Pit 009 -1 - Memorial Park _ Center Median","11/11/2022","11/11/2022","11/11/2022","25/02/2023",,"","P009 - P009-1","","","","","Philip Klenkowski","","Philip Klenkowski","30/03/2023","","","",""
"ITP-017-A1-LOT-085 -SP (525mm) Drainage - Pit 257- Pit 389 - Memorial Park North","21/11/2022","21/11/2022","21/11/2022","",," DRL- Drainage Lot","CH16341 - CH16339","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","","","Philip Klenkowski","","Philip Klenkowski","","","","",""
"ITP-017-A1-LOT-086 -RCP (525mm) Drainage - Pit 389- Pit 249 - Memorial Park North","21/11/2022","21/11/2022","21/11/2022","",," DRL- Drainage Lot","CH16316 - CH16339","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","","","Philip Klenkowski","","","","","","",""
"ITP-017-A1-LOT-087- SP (375mm) Drainage - Pit 249- Pit 018 - Memorial Park North","21/11/2022","21/11/2022","21/11/2022","",," DRL- Drainage Lot","CH16318 - CH16319","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","","","Philip Klenkowski","","","","","","",""
"ITP-017-A1-LOT-088- RCBC(450x300) - HW 256- Pit 188 - Memorial Park North","","","","",,"","","","","","","Qassim Al-Montafjy","","","","","","",""
"ITP-017-A1-LOT-089- SP (1050mm) Drainage - Pit 54 - Pit 321 - HARDY St","21/11/2022","21/11/2022","21/11/2022","",," DRL- Drainage Lot","CH16111 - CH16110","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","","","Philip Klenkowski","","","","","","",""
"ITP-017-A1-LOT-090 - SP (450mm) Drainage - Pit 54 - Pit 331 - HARDY St","01/12/2022","01/12/2022","01/12/2022","",," DRL- Drainage Lot","CH16110 - CH16116","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","","","Philip Klenkowski","","","","","","",""
"ITP-017-A1-LOT-091- SP (375mm) Drainage - Pit 321- Pit 321- 3 - HARDY St","18/01/2023","18/01/2023","18/01/2023","",," DRL- Drainage Lot","Pit 321 to Pit 321-3","STOR - Stormwater","STOR - DRAP Drainage ÊÊ"," 1145-ACM-CVD-DPK-0004","EB - Eastbound","Qassim Al-Montafjy","","","","","","",""
"ITP-017-A1-LOT-092 - SP (375mm) Drainage - Pit 331- Pit 331 -1- HARDY St","29/11/2022","29/11/2022","29/11/2022","",,"","","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","","","","","","","","","",""
"ITP-017-A1-LOT-093- SP (375mm) Drainage - Pit 321- Pit 321- 1 - HARDY St","","","","",,"","","","","","","Qassim Al-Montafjy","","","","","","",""
"ITP-017-A1-LOT-094- SP (900mm) Drainage - Pit 182- Pit 386 - Memorial Park","21/11/2022","21/11/2022","21/11/2022","",," DRL- Drainage Lot","CH16158 - CH16160","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","","","Philip Klenkowski ","","","","","","",""
"ITP-017-A1-LOT-095 SP (375mm) Drainage - Pit 386 - Pit 366-1- Memorial Park","21/11/2022","21/11/2022","21/11/2022","",,"","CH16158 - CH16183","","","","","Philip Klenkowski","","Philip Klenkowski","","","","",""
"ITP-017-A1-LOT-096 RCP (600mm) Drainage - Pit 151 - Pit 150-1","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-017-A1-LOT-097- RCP  (750mm) Drainage - Pit 54 - Pit 063 - HARDY St","30/11/2022","30/11/2022","30/11/2022","",,"","CH16088 - CH116110 ","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","","","Philip Klenkowski","","","","","","",""
"ITP-017-A1-LOT-098- RCP (525mm) Drainage -  Pit 063-1 - Pit 030 - Pit 030-1 - HARDY St","07/12/2022","07/12/2022","07/12/2022","",,"","CH16042 - CH16070","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","","","Philip Klenkowski","","","","","","",""
"ITP-017-A1-LOT-099- SP (375mm) Drainage - Pit 11-1 - Pit 023 - Plaza","","","","",,"","","","","","","Qassim Al-Montafjy","","","","","","",""
"ITP-017-A1-LOT-100- SP (375mm) Drainage - Pit 023 - Pit 024 - Plaza","14/02/2023","14/02/2023","14/02/2022","",,"","P024 - P023","","","","","Philip Klenkowski","","Philip Klenkowski","","","","",""
"ITP-017-A1-LOT-101- SP (375mm) Drainage - Pit 024 - Pit 032 - Plaza","20/02/2023","20/02/2023","20/02/2023","",,"","P032 - P024","","","","","Philip Klenkowski","","Philip Klenkowski","","","","",""
"ITP-017-A1-LOT-102- Zone 1 -1050RCP - Drainage - P321 - P11-2","13/01/2023","13/01/2023","13/01/2023","",,"","CH16111 - CH16114","","","","","Philip Klenkowski","","","","","","",""
"ITP-017-A1-LOT-103- 750RCP - Drainage - P011-1 - P011 - Intersection North ","","","","",,"","","","","","","Qassim Al-Montafjy","","","","","","",""
"ITP-017-A1-LOT-104- 375RCP - Drainage - P011 - P010 - Intersection North ","","","","",,"","","","","","","Qassim Al-Montafjy","","","","","","",""
"ITP-017-A1-LOT-105- 900RCP - Drainage - P011 - P011-2","","","","",,"","","","","","","Qassim Al-Montafjy","","","","","","",""
"ITP-017-A1-LOT-106- 900RCP - Drainage - P002 - P275  - Intersection North","","","","",,"","","","","","","Qassim Al-Montafjy","","","","","","",""
"ITP-017-A1-LOT-107- 900RCP - Drainage - P275 - P386","","","","",,"","","","","","","Qassim Al-Montafjy","","","","","","",""
"ITP-017-A1-LOT-108- 375RCP - Drainage - P321-2 - P321-1","","","","",,"","","","","","","Qassim Al-Montafjy","","","","","","",""
"ITP-017-A1-LOT-109- 375mm StormPro - Drainage - P329 - P025","","","","",,"","","","","","","Qassim Al-Montafjy","","","","","","",""
"ITP-017-A1-LOT-110- 375RCP - Drainage - P025 - P032","20/01/2023","20/01/2023","20/01/2023","",,"","P032 - P025","","","","","Philip Klenkowski","","Philip Klenkowski","","","","",""
"ITP-017-A1-LOT-111- 375RCP - Drainage - P043 - P366","","","","",,"","","","","","","Qassim Al-Montafjy","","","","","","",""
"ITP-017-A1-LOT-112- 375 StormPro - Drainage - P366 - P042","","","","",,"","","","","","","Qassim Al-Montafjy","","","","","","",""
"ITP-017-A1-LOT-113- 375RCP - Drainage - P042 - P040","","","","",,"","","","","","","Qassim Al-Montafjy","","","","","","",""
"ITP-017-A1-LOT-114- 375 StormPro - Drainage - P040 - P364","","","","",,"","","","","","","Qassim Al-Montafjy","","","","","","",""
"ITP-017-A1-LOT-115- 375 StormPro - Drainage - P364 - P039","","","","",,"","","","","","","Qassim Al-Montafjy","","","","","","",""
"ITP-017-A1-LOT-116- 450 StormPro - Drainage - P039 - P385","","","","",,"","","","","","","Qassim Al-Montafjy","","","","","","",""
"ITP-017-A1-LOT-117- Zone 1 - 600RCP - Drainage - P054 - P054-1","02/02/2023","02/02/2023","02/02/2023","",,"","054 - P054-1","","","","","Philip Klenkowski","","","","","","",""
"ITP-017-A1-LOT-118- Zone 1 - 600RCP - Drainage - P054-1 - P054-2","02/02/2023","02/02/2023","02/02/2023","",,"","054-1 054-2","","","","","Philip Klenkowski ","","Philip Klenkowski","","","","",""
"ITP-017-A1-LOT-119- Zone 1 - 600RCP - Drainage - P054-2 - P054-3","02/02/2023","02/02/2023","02/02/2023","",,"","054-2 - 054-3","","","","","Philip Klenkowski","","Philip Klenkowski","","","","",""
"ITP-017-A1-LOT-120- Zone 2 - 375RCP - Drainage - P041 - P046","","","","",,"","","","","","","Qassim Al-Montafjy","","","","","","",""
"ITP-017-A1-LOT-121- Zone 1 - 375mm stormpro Pit 009-1- Pit 009-2","","","","",,"","","","","","","Qassim Al-Montafjy","","","","","","",""
"ITP-017-A1-LOT-122- Zone 1 - 375mm stormpro Pit 009-2- Pit 009-3","02/02/2023","02/02/2023","02/02/2023","",,"","009-2 - 009-3","","","","","Philip Klenkowski","","","","","","",""
"ITP-017-A1-LOT-123- 375RCP - Drainage - P321-1 - P321-2","","","","",,"","","","","","","Qassim Al-Montafjy","","","","","","",""
"ITP-017-A1-LOT-124- 375 StormPro - Drainage - P192-1 - P192-2 - Zone 3.1","23/01/2023","23/01/2023","23/01/2023","",,"","14857 to 14878","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","1145-ACM-CVD-DPK-0002"," WB - Westbound","Khulood Hwayyis","","","","","","",""
"ITP-017-A1-LOT-125- 375 StormPro - Drainage - P192-2 - P093 - Zone 3.1","","","","",,"","","","","","","","","","","","","",""
"ITP-017-A1-LOT-126- Zone 1 - 375mm stormpro Pit 009-3- Pit 009-4","","","","",,"","","","","","","","","","","","","",""
"ITP-017-A1-LOT-127- 375mm stormpro Pit 009-4- Pit 012","15/01/2022","15/01/2022","15/01/2022","",,"","P009-4 - P012","","","","","Philip Klenkowski","","Philip Klenkowski","","","","",""
"ITP-017-A1-LOT-128- 375mm RCP Pit 012- Pit 012-1","15/01/2023","15/01/2023","15/01/2023","",,"","P012 - P012-1","","","","","Philip Klenkowski","","","","","","",""
"ITP-017-A1-LOT-129- 375mm Stormpro Pit 012-1 - Pit 357","","","","",,"","","","","","","Qassim Al-Montafjy","","","","","","",""
"ITP-017-A1-LOT-130- 525mm stormpro Pit 257- Pit 391","","","","",,"","","","","","","Qassim Al-Montafjy","","","","","","",""
"ITP-017-A1-LOT-131- 450mm RCP Pit 391 - Pit 263","22/01/2023","22/01/2023","22/01/2023","",,"","P391 - P263","","","","","Philip Klenkowski","","Philip Klenkowski","","","","",""
"ITP-017-A1-LOT-132- 450mm RCP Pit 263- Pit 016","14/01/2022","14/01/2022","14/01/2022","",,"","P263 - P012","","","","","Philip Klenkowski","","Philip Klenkowski","","","","",""
"ITP-017-A1-LOT-133- 375mm Stormpro Pit 237 to Pit 031","","","","",,"","","","","","","Qassim Al-Montafjy","","","","","","",""
"ITP-017-A1-LOT-134- RCP 1200mm - Pit 190 to Pit 260","","","","",,"","","","","","","","","","","","","",""
"ITP-017-A1-LOT-135 - RCP375 - Pit 237 to Pit 237-1","","","","",,"","","","","","","Qassim Al-Montafjy","","","","","","",""
"ITP-017-A1-LOT-136 - RCP375 - Pit 043 to Pit 366","","","","",,"","","","","","","Qassim Al-Montafjy","","","","","","",""
"ITP-017-A1-LOT-137 - RCP1200 - Pit 260 to Pit 261","","","","",,"","","","","","","","","","","","","",""
"ITP-017-A1-LOT-138 - RCP1200 - Pit 261 to Pit 266","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-017-A1-LOT-139 - RCP1200 - Pit 190 to Pit 187","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-017-A1-LOT-140 - RCP525 - Pit 215 to Pit 214","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-017-A1-LOT-141 - RCP525 - Pit 187 to Pit 207","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-017-A1-LOT-142 - RCP375 - Pit 043 to Pit366","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-017-A1-LOT-143 - Storm Pro 375 - Pit 366 to Pit 042","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-017-A1-LOT-144 - RCP375 - Pit 042 to Pit 372","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-017-A1-LOT-145 - RCP525 - Pit 207 to Pit 106","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-017-A1-LOT-146 - RCP450 - Pit 215 to Pit 216","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-017-A1-LOT-147 - RCP375 - Pit 234 to Pit 235","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-017-A1-LOT-148 - RCP525 - Pit 106 to Pit 211","","","","",,"","","","","","","James Moran","","","","","","",""
