"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"97a842cb-2f3c-41fb-81d7-53759bab9eb2","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Mechanical  Inspections"
"bbcffba7-a29a-417d-a5c5-7f8fa242d218","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 82 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 6","Electrofusion Welding"
"f82ac8f8-4247-4bfa-bf9c-c6575fa6554d","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 82 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 7"
"05154427-f53a-438e-a74b-dcba61c2f97f","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 82 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 7","Electrofusion Welding"
"40b87cf2-8cb1-4530-867d-bc532f5a9d16","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 82 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 8"
"0b6e1b34-8ea8-4fd6-880a-142149411122","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 82 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 8","Electrofusion Welding"
"abd6c839-3073-45ff-8228-62dab526820c","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 82 - Check Sheet 100% Complete","Wet Fire Reticulation","Pipework Pressure Test Report QCC-01.01"
"4b42e392-51a3-4760-a201-39841800991f","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 82 - Check Sheet 100% Complete","Wet Fire Reticulation","Pipework Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"2de5aceb-1374-54d2-95c7-411a278b4d5c","","checklist-flat","pass","Seismic Joint Building Connection","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 82 - Check Sheet 100% Complete","Seismic Joint Building Connection"
"f4e9a545-c9cd-4be1-a2d8-e496fbe7b408","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 84 - Check Sheet 95% Valve Box Incomplete"
"228c9e0c-bc07-4a57-9894-05f31ca6587c","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 84 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation"
"c0612277-a13f-47a9-9ae5-f114ff037798","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 84 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Combined Services HDPE Fire Pipework Installation"
"cf264a04-49c7-4efa-b2e2-1dcb80e603f9","","checklist-flat","work-in-progress","Combined Services HDPE Fire Pipework Installation","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 84 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Combined Services HDPE Fire Pipework Installation","Combined Services HDPE Fire Pipework Installation"
"019219e3-f39b-4131-a7e5-044bedb10e88","Signoffs not allowed on folder-progress: Signoffs Weld 1-5(5f59429a-45e6-4c4b-ae9d-f82a0c6fbd7c)","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 84 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding"
"79a2287b-c584-4209-9127-d58b12cc1b60","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 84 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10"
"38ff9a5b-961c-4d98-aab9-a596b4ab4deb","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 84 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 1"
"dcc75bd9-f93f-4bc3-bd03-75b2362d0b46","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 84 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 1","Electrofusion Welding"
"68492380-0ef3-4a2e-a65a-9a20a36c530d","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 84 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 2"
"dc956a6e-fe38-4230-9bfc-320a0908db07","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 84 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 2","Electrofusion Welding"
"a0e6d279-df3a-46e4-a347-848e36f868fd","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 84 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 3"
"74301462-4e76-4221-96a8-8c97d86348a1","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 84 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 3","Electrofusion Welding"
"a7467161-7174-4684-a6cf-a73c1e60a4d8","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 84 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 4"
"b3925f11-c4d5-4e9f-a090-88609fe44b49","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 84 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 4","Electrofusion Welding"
"b585189b-b592-47a5-b82e-571aa6b5da5a","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 84 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 5"
"e15c8e76-88dd-4934-8b0f-949504df8d2d","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 84 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 5","Electrofusion Welding"
"0dfb3143-8fbf-40d4-bba9-22bd687815bd","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 84 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Pipework Pressure Test Report QCC-01.01"
"134c61ed-8371-46f1-a5d3-c3a379c622c6","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 84 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Pipework Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"dd208709-175c-4955-acbb-779335efb32d","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 92 - Check Sheet 95% Valve Box Incomplete"
"4ffc5782-976b-4b9e-a41d-9791b7d86a13","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 92 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation"
"8db99167-14d6-4ff7-869a-39cd10fc5d80","","folder-normal","pass","","step","TRUE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 92 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding"
"d59f43f8-aaab-5a5f-a895-d29216a4a8b0","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 92 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Weld 2"
"1fd28f91-b5fc-52b0-9367-55ee59178d15","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 92 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Weld 3"
"8e5a7dda-47dc-5812-bf27-a400810ff82b","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 92 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Weld 4"
"453d742a-3cc3-5f1f-98a0-4bd4866849e2","","checklist-flat","no-status-started","Project Documentation","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 92 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Signoff Weld 1-4"
"07ba4ddc-be8c-45f2-90e4-32055884b953","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 92 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Weld 5"
"a049120a-430b-517d-9151-f72927a40f78","","checklist-flat","work-in-progress","Combined Services HDPE Fire Pipework Installation","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 92 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Combined Services HDPE Fire Pipework Installation"
"34ae12ad-9ae2-53ab-960c-ab0d6628c402","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 92 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Pressure Test Report QCC-01.01"
"e34a986f-b7bc-4e0e-a0fb-d23556f2520e","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 2"
"5d62a8da-dd6c-46ee-84ef-7740420564e2","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 2","Trench PE 83 - Check Sheet 100% Complete"
"87826432-a2ad-44bb-8a01-743ff6c0f8f6","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 2","Trench PE 83 - Check Sheet 100% Complete","Wet Fire Reticulation"
"cabf5512-ae12-4bfe-be9c-d0f34a5723bd","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 2","Trench PE 83 - Check Sheet 100% Complete","Wet Fire Reticulation","Combined Services HDPE Fire Pipework Installation"
"6e362f23-9014-4bd5-9463-dc7d05549296","","checklist-flat","pass","Combined Services HDPE Fire Pipework Installation","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 2","Trench PE 83 - Check Sheet 100% Complete","Wet Fire Reticulation","Combined Services HDPE Fire Pipework Installation","Combined Services HDPE Fire Pipework Installation"
"5e9b877a-70d6-496a-941e-4e7204d76451","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 2","Trench PE 83 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding"
"a8e5a288-42fa-4783-b1d5-d63e4ad68131","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 2","Trench PE 83 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10"
"6a690adf-926e-44bb-afec-5a19aab37213","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 2","Trench PE 83 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 1"
"cbfb5b7e-0f2e-45a7-8f16-147403b40b69","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 2","Trench PE 83 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 1","Electrofusion Welding"
"96d0df51-7bda-4613-98fe-3c353c7c0a67","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 2","Trench PE 83 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 2"
"8fde0d4d-e78f-485c-88ac-01fcdb6c2da3","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 2","Trench PE 83 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 2","Electrofusion Welding"
"bc3db13c-0a6a-4c60-a390-a3a47039ebb9","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 2","Trench PE 83 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 3"
"3ce659f2-d64f-4fc2-99c8-49650c2898bb","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 2","Trench PE 83 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 3","Electrofusion Welding"
"d6fdcb9e-f9d2-4bb2-be12-93a7c2e17c9a","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 2","Trench PE 83 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 4"
"027350fe-a824-46cf-b80c-5f41b66b100c","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 2","Trench PE 83 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 4","Electrofusion Welding"
"3125d9fe-1560-4176-8288-397cbd2d8ff3","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 2","Trench PE 83 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 5"
"50e09102-9fea-49e4-9b05-4009aa14926d","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 2","Trench PE 83 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 5","Electrofusion Welding"
"08a6bf76-d62c-406a-8f7b-f62edb3807a1","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 2","Trench PE 83 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 6"
"60c90524-0225-4079-9b11-5dd4ade6e6a9","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 2","Trench PE 83 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 6","Electrofusion Welding"
"e362ba93-8cd9-4197-83f8-c79e93ae8064","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 2","Trench PE 83 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 7"
"a7dc2971-6e59-4fee-943d-99e4837e7a85","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 2","Trench PE 83 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 7","Electrofusion Welding"
