"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d2a827fb-34b7-4467-ac73-cbc5f3a899d0","","checklist-flat","pass","SYS - PT - Overall Pre-start","checklist-flat","FALSE","FALSE","Overall Pre-start"
"b1a77841-00af-574c-a3f6-530a342e4a05","","checkpoint-status","pass","","","TRUE","TRUE","Overall Pre-start","Overall Pre-start"
"691ac664-d674-5ffa-82e1-97aa106ff153","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","System information:"
"9a10b374-3aea-50c6-b119-ff4309257fba","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","SSP Attached"
"3c405b8f-0a8f-53d6-b4d8-984c2b382980","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Task Analysis Attached"
"22fa23cd-e941-50b0-bb41-1c152cbbcc82","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Relevant Drawings Attached"
"924daf92-54dd-5b50-87ff-84c9485d4a61","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Pre-Start Photos"
"a82bca07-5936-4613-9c09-5423681a2fcb","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA"
"578f4e28-c674-425f-83b3-6b5f276008dc","","folder-normal","pass","","step","TRUE","FALSE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors"
"979b340f-2dc9-4535-ab72-ee22ebb94d56","","folder-normal","pass","","step","TRUE","FALSE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 01"
"c78a5cd9-a5d9-4c3d-b404-f611bfc2b016","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 01","Pre-Fit Off Checklist"
"a2be5d82-de28-547f-bb06-9f0bea1a04fe","","holdpoint","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","4No Fall Arrest Anchors to Trapezoidal Profile","Fit Off Checklist - Anchor 09","EMAIL PM"
"0885dba2-e730-502a-9030-ce8e9933058a","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","4No Fall Arrest Anchors to Trapezoidal Profile","Fit Off Checklist - Anchor 09","Required number of photo(s) taken of installed anchor(s)"
"2695d359-e97c-55f5-955c-4412f0e86bf1","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","4No Fall Arrest Anchors to Trapezoidal Profile","Fit Off Checklist - Anchor 09","Installed as per PBI drawings supplied and manufacturer's requirements"
"a725ae0f-3a81-4a7f-8323-7698a6e76e40","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","4No Fall Arrest Anchors to Trapezoidal Profile","Fit Off Checklist - Anchor 10"
"7cdf15ec-816d-5ef1-8c9b-179f1e46cb39","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","4No Fall Arrest Anchors to Trapezoidal Profile","Fit Off Checklist - Anchor 10","Confirm the structure is in accordance with the details supplied by PBI"
"8f7914df-0762-5a41-a840-f18a78d611c1","","holdpoint","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","4No Fall Arrest Anchors to Trapezoidal Profile","Fit Off Checklist - Anchor 10","EMAIL PM"
"0d1585ed-0b97-50c8-a172-13be53a6d16d","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","4No Fall Arrest Anchors to Trapezoidal Profile","Fit Off Checklist - Anchor 10","Required number of photo(s) taken of installed anchor(s)"
"7534cfc6-7aab-5ec1-a28d-e8e7993f1dac","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","4No Fall Arrest Anchors to Trapezoidal Profile","Fit Off Checklist - Anchor 10","Installed as per PBI drawings supplied and manufacturer's requirements"
"4d11d83f-43f0-4d50-8bb7-8d1a74dcdfac","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","4No Fall Arrest Anchors to Trapezoidal Profile","Fit Off Checklist - Anchor 13"
"21883e5e-2554-528d-bf59-1a74975eb821","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","4No Fall Arrest Anchors to Trapezoidal Profile","Fit Off Checklist - Anchor 13","Confirm the structure is in accordance with the details supplied by PBI"
"38d70bac-f589-56e5-8a3a-8ba51ac298a9","","holdpoint","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","4No Fall Arrest Anchors to Trapezoidal Profile","Fit Off Checklist - Anchor 13","EMAIL PM"
"06296056-7df4-5c06-bc91-a5a5fdc43c3b","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","4No Fall Arrest Anchors to Trapezoidal Profile","Fit Off Checklist - Anchor 13","Required number of photo(s) taken of installed anchor(s)"
"b877a232-f8fd-5a94-8d0a-d545cbd0e8b5","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","4No Fall Arrest Anchors to Trapezoidal Profile","Fit Off Checklist - Anchor 13","Installed as per PBI drawings supplied and manufacturer's requirements"
"c4ba5349-095e-42d9-9874-1b30b6a78d55","","checklist-flat","pass","Data Plate & Access Point (Anchor Points)","checklist-flat","FALSE","FALSE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","4No Fall Arrest Anchors to Trapezoidal Profile","Data Plate & Access Point (Anchor Points)"
"87e4f181-82b8-50f9-8e59-7f2cf7a5b45c","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","4No Fall Arrest Anchors to Trapezoidal Profile","Data Plate & Access Point (Anchor Points)","Details of Data Plate"
"b8fd3601-afbb-5237-bf7f-56e152b7f8fb","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","4No Fall Arrest Anchors to Trapezoidal Profile","Data Plate & Access Point (Anchor Points)","1 photo required of Data Plate"
"64d8eab1-5307-53ae-9f41-7fa16991ca48","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","4No Fall Arrest Anchors to Trapezoidal Profile","Data Plate & Access Point (Anchor Points)","Details of Access Point"
"564384ce-e566-529c-86c5-d620e12b2947","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","4No Fall Arrest Anchors to Trapezoidal Profile","Data Plate & Access Point (Anchor Points)","1 photo required of Access Area"
"0897ebe3-de59-4681-882a-30b75e543680","","folder-normal","pass","","step","TRUE","FALSE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","2No Fall Arrest Anchors to Membrane Roof"
"b67a3eab-55d4-4a1d-834e-6672f6170ad1","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","2No Fall Arrest Anchors to Membrane Roof","Pre-Fit Off Checklist"
"54733703-2947-55b4-977d-17baef5f1281","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","2No Fall Arrest Anchors to Membrane Roof","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"af2d7cba-258d-56bc-8e53-89971ed7b145","","holdpoint","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","2No Fall Arrest Anchors to Membrane Roof","Pre-Fit Off Checklist","EMAIL PM"
"3b408e83-68c5-50f5-8a89-b549507194e8","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","2No Fall Arrest Anchors to Membrane Roof","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"04bd1704-98c8-52ac-a2dd-4a7e38264bce","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","2No Fall Arrest Anchors to Membrane Roof","Pre-Fit Off Checklist","Photos taken"
"d6edc0f3-a0a2-493a-a788-e5817ad6bd3c","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","2No Fall Arrest Anchors to Membrane Roof","Fit Off Checklist - Anchor 11"
"1eac0c46-c256-51d4-83b7-1b9fe77a5e68","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","2No Fall Arrest Anchors to Membrane Roof","Fit Off Checklist - Anchor 11","Confirm the structure is in accordance with the details supplied by PBI"
"36cf406a-4d3b-5b77-a484-150751cabb27","","holdpoint","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","2No Fall Arrest Anchors to Membrane Roof","Fit Off Checklist - Anchor 11","EMAIL PM"
"d6273fc5-5e58-5b8d-9cf2-d8a0987bd0b0","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","2No Fall Arrest Anchors to Membrane Roof","Fit Off Checklist - Anchor 11","Required number of photo(s) taken of installed anchor(s)"
"7eb6a484-b4ad-5516-a25d-e2986cf3a608","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","2No Fall Arrest Anchors to Membrane Roof","Fit Off Checklist - Anchor 11","Installed as per PBI drawings supplied and manufacturer's requirements"
"e55f9d4d-e1e6-4906-b7fe-bdd6ecf3b650","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","2No Fall Arrest Anchors to Membrane Roof","Fit Off Checklist - Anchor 12"
"f5eda596-73a5-53ed-9b2a-f15dc43ea5e0","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","2No Fall Arrest Anchors to Membrane Roof","Fit Off Checklist - Anchor 12","Confirm the structure is in accordance with the details supplied by PBI"
"217b66d1-dac2-5592-ae6b-92f9bedf88b2","","holdpoint","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","2No Fall Arrest Anchors to Membrane Roof","Fit Off Checklist - Anchor 12","EMAIL PM"
"7e8f605e-e0a4-53e0-ba59-a44b692309b8","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","2No Fall Arrest Anchors to Membrane Roof","Fit Off Checklist - Anchor 12","Required number of photo(s) taken of installed anchor(s)"
"a5665b74-8121-5ceb-aeca-44b5a516f6d0","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","2No Fall Arrest Anchors to Membrane Roof","Fit Off Checklist - Anchor 12","Installed as per PBI drawings supplied and manufacturer's requirements"
"84b5aa5a-7700-4b9a-ae61-f9c1d9ee3dce","","checklist-flat","pass","Data Plate & Access Point (Anchor Points)","checklist-flat","FALSE","FALSE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","2No Fall Arrest Anchors to Membrane Roof","Data Plate & Access Point (Anchor Points)"
"f26e81ab-49e6-59ca-9145-e741222ec6de","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","2No Fall Arrest Anchors to Membrane Roof","Data Plate & Access Point (Anchor Points)","Details of Data Plate"
"1848edf2-bb77-506b-853d-3addb0747606","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","2No Fall Arrest Anchors to Membrane Roof","Data Plate & Access Point (Anchor Points)","1 photo required of Data Plate"
"4b6f2fbf-c36d-5ad9-8c7a-ea3515169a52","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","2No Fall Arrest Anchors to Membrane Roof","Data Plate & Access Point (Anchor Points)","Details of Access Point"
"fe6fee03-1eab-581a-8000-fc393aab32ea","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","2No Fall Arrest Anchors to Membrane Roof","Data Plate & Access Point (Anchor Points)","1 photo required of Access Area"
"e86de0e9-9bb3-472b-923d-e69bcea6d2b8","","checklist-flat","pass","Data Plate, Access Point (Rails and Line Systems)","checklist-flat","FALSE","FALSE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","Data Plate, Access Point"
"77428bca-2767-579b-9f3c-c6ccfdc51490","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","Data Plate, Access Point","Details of Data Plate"
"be53e0e8-e50a-5c8b-89a9-b34577ba8529","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","Data Plate, Access Point","1 photo required of Data Plate"
"3848c15c-3900-5e0c-9bf6-3bdd38e7c17c","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","Data Plate, Access Point","Details of Access Point"
"208ffe5e-353f-5a4b-b7e3-f5ee8d1dae83","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","Data Plate, Access Point","1 photo required of Access Area"
"424a4027-6a88-586f-aaba-94ade81a3b9d","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","Data Plate, Access Point","Details of Rail Carriages/Cable Travellers"
"77d5a4ff-566e-500b-a37c-e45210f604c4","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","Data Plate, Access Point","1 photo required of carriages/travellers"
"9672cad3-5c96-47c0-a4f9-50b5b4805019","","folder-normal","pass","","step","TRUE","FALSE","QA","Rostek Rails"
"f8223373-ab64-4daa-bfa6-2bfb83270903","","checklist-flat","pass","Rail Checklist","checklist-flat","FALSE","FALSE","QA","Rostek Rails","Rail Checklist - Rostek Rail 01 (Tower 01)"
"c4c8e134-99ea-55fc-9d9d-08d6bff1e581","","checkpoint-status","pass","","","TRUE","TRUE","QA","Rostek Rails","Rail Checklist - Rostek Rail 01 (Tower 01)","Confirm the structure is in accordance with the details supplied by PBI"
"789146c6-fa87-5915-b17e-076747586d15","","holdpoint","pass","","","TRUE","TRUE","QA","Rostek Rails","Rail Checklist - Rostek Rail 01 (Tower 01)","EMAIL PM"
"ae3ff5e5-7145-5817-a99b-152b4edfa72a","","checkpoint-status","pass","","","TRUE","TRUE","QA","Rostek Rails","Rail Checklist - Rostek Rail 01 (Tower 01)","Photo taken of Engraved Line Plate / ID Tag"
"262236f0-a0b3-5ce7-b699-7436c82f61b7","","checkpoint-status","pass","","","TRUE","TRUE","QA","Rostek Rails","Rail Checklist - Rostek Rail 01 (Tower 01)","Video taken of system"
"09a3af04-a26e-54a3-946a-efa11077a9ad","","checkpoint-status","pass","","","TRUE","TRUE","QA","Rostek Rails","Rail Checklist - Rostek Rail 01 (Tower 01)","Description input of location / person Rail systems shuttle left with"
"9a7b4512-a6f8-592d-858d-0c891931ea96","","checkpoint-status","pass","","","TRUE","TRUE","QA","Rostek Rails","Rail Checklist - Rostek Rail 01 (Tower 01)","Installed as per PBI drawings supplied and manufacturer's requirements"
"c0f71aa7-c355-4014-adaf-630ff1a7134b","","checklist-flat","pass","Rail Checklist","checklist-flat","FALSE","FALSE","QA","Rostek Rails","Rail Checklist - Rostek Rail 02 (Tower 01)"
"36cbdeed-1c3b-51cb-bf98-688fb7cd5fc6","","checkpoint-status","pass","","","TRUE","TRUE","QA","Rostek Rails","Rail Checklist - Rostek Rail 02 (Tower 01)","Confirm the structure is in accordance with the details supplied by PBI"
"7b58b54a-bdde-5a41-9d9a-fbfdb8ad803f","","holdpoint","pass","","","TRUE","TRUE","QA","Rostek Rails","Rail Checklist - Rostek Rail 02 (Tower 01)","EMAIL PM"
"b81a6fc6-16c6-54d6-8ff7-fb628fadcae7","","checkpoint-status","pass","","","TRUE","TRUE","QA","Rostek Rails","Rail Checklist - Rostek Rail 02 (Tower 01)","Photo taken of Engraved Line Plate / ID Tag"
"72ed0e83-4adc-5e8b-85eb-39a8a8bbb3c5","","checkpoint-status","pass","","","TRUE","TRUE","QA","Rostek Rails","Rail Checklist - Rostek Rail 02 (Tower 01)","Video taken of system"
"ffe6a935-f33a-51ed-bd4b-eaa88d1a0fda","","checkpoint-status","pass","","","TRUE","TRUE","QA","Rostek Rails","Rail Checklist - Rostek Rail 02 (Tower 01)","Description input of location / person Rail systems shuttle left with"
"24bfb194-8da6-5525-b05d-9029287fe264","","checkpoint-status","pass","","","TRUE","TRUE","QA","Rostek Rails","Rail Checklist - Rostek Rail 02 (Tower 01)","Installed as per PBI drawings supplied and manufacturer's requirements"
"0c095c85-bb09-4b33-a562-18a5585d89d3","","checklist-flat","pass","Rail Checklist","checklist-flat","FALSE","FALSE","QA","Rostek Rails","Rail Checklist - Rostek Rail 03 (Tower 02)"
"f3b910ba-6893-564b-ba89-ebb22a571dd1","","checkpoint-status","pass","","","TRUE","TRUE","QA","Rostek Rails","Rail Checklist - Rostek Rail 03 (Tower 02)","Confirm the structure is in accordance with the details supplied by PBI"
"d30173c4-0f63-56d4-a052-27d01fab3c93","","holdpoint","pass","","","TRUE","TRUE","QA","Rostek Rails","Rail Checklist - Rostek Rail 03 (Tower 02)","EMAIL PM"
"5454bcde-4871-5c89-af54-6cfbdd0b0253","","checkpoint-status","pass","","","TRUE","TRUE","QA","Rostek Rails","Rail Checklist - Rostek Rail 03 (Tower 02)","Photo taken of Engraved Line Plate / ID Tag"
"3799629d-2c79-5c1a-967a-3e704f4c7784","","checkpoint-status","pass","","","TRUE","TRUE","QA","Rostek Rails","Rail Checklist - Rostek Rail 03 (Tower 02)","Video taken of system"
"69b754dc-8df9-5b4f-9c02-8c6398f2f62d","","checkpoint-status","pass","","","TRUE","TRUE","QA","Rostek Rails","Rail Checklist - Rostek Rail 03 (Tower 02)","Description input of location / person Rail systems shuttle left with"
"b5448be2-3b00-544d-9c92-e4fdeb9b723d","","checkpoint-status","pass","","","TRUE","TRUE","QA","Rostek Rails","Rail Checklist - Rostek Rail 03 (Tower 02)","Installed as per PBI drawings supplied and manufacturer's requirements"
"4aaf6358-d225-4e27-acf9-1f3ca292d608","","folder-normal","pass","","step","TRUE","FALSE","QA","Stair 04 - 1no Ladder Bracket"
"803da8e3-57b0-4e02-b3e8-fdece916182c","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Stair 04 - 1no Ladder Bracket","Pre-Fit Off Checklist"
"8d1e605f-7832-56d2-b944-d14c72d96fbe","","checkpoint-status","pass","","","TRUE","TRUE","QA","Stair 04 - 1no Ladder Bracket","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"21708f42-d9fd-5398-a7ee-eb4a05175748","","holdpoint","pass","","","TRUE","TRUE","QA","Stair 04 - 1no Ladder Bracket","Pre-Fit Off Checklist","EMAIL PM"
"bf92007c-db52-56e4-b200-c20b1b27ece8","","checkpoint-status","pass","","","TRUE","TRUE","QA","Stair 04 - 1no Ladder Bracket","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"43256502-cdc7-5cce-8107-fd7f5dd7237d","","checkpoint-status","pass","","","TRUE","TRUE","QA","Stair 04 - 1no Ladder Bracket","Pre-Fit Off Checklist","Photos taken"
"e415e99e-b020-4390-a702-79d3f4083611","","checklist-flat","pass","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","Stair 04 - 1no Ladder Bracket","Fit Off Checklist - Miscellaneous Item - Ladder Bracket"
"1a5fc4d5-fc9f-55b0-a888-19d2dbf547a7","","checkpoint-status","pass","","","TRUE","TRUE","QA","Stair 04 - 1no Ladder Bracket","Fit Off Checklist - Miscellaneous Item - Ladder Bracket","Confirm the structure is in accordance with the details supplied by PBI"
"35295ee4-e194-5ea9-9f73-e694da28cd83","","holdpoint","pass","","","TRUE","TRUE","QA","Stair 04 - 1no Ladder Bracket","Fit Off Checklist - Miscellaneous Item - Ladder Bracket","EMAIL PM"
"280af731-b353-5590-b3cd-8b2daf83e7c5","","checkpoint-status","pass","","","TRUE","TRUE","QA","Stair 04 - 1no Ladder Bracket","Fit Off Checklist - Miscellaneous Item - Ladder Bracket","Photos taken of installed item"
"a8023585-4e88-5e63-87fb-d68ea6f90a19","","checkpoint-status","pass","","","TRUE","TRUE","QA","Stair 04 - 1no Ladder Bracket","Fit Off Checklist - Miscellaneous Item - Ladder Bracket","Installed as per PBI drawings supplied and manufacturer's requirements"
"42fb2f70-6a02-45e5-8fd9-8f28f0cfb314","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","Evidence of Supply - 2No Parapet Protectors - Tower 01"
"654bbd3b-8926-5eac-ac02-f9f05b60425b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Evidence of Supply - 2No Parapet Protectors - Tower 01","Confirm the structure is in accordance with the details supplied by PBI"
"4c787073-6549-5fd6-bc8f-fe59956e2769","","holdpoint","not-started","","","TRUE","TRUE","QA","Evidence of Supply - 2No Parapet Protectors - Tower 01","EMAIL PM"
"eb81eb1a-3664-5ff2-a0fe-05f35fea2db1","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Evidence of Supply - 2No Parapet Protectors - Tower 01","Photos taken of installed item"
"29700828-0e72-515b-8317-af2089fd3db4","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Evidence of Supply - 2No Parapet Protectors - Tower 01","Installed as per PBI drawings supplied and manufacturer's requirements"
"97d6b436-990d-4338-b152-d77ff2937236","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","Evidence of Supply - 2No Parapet Protectors - Tower 02"
"2a29538e-7746-5a5a-a47d-480e792e2da8","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Evidence of Supply - 2No Parapet Protectors - Tower 02","Confirm the structure is in accordance with the details supplied by PBI"
"073142f3-e860-5802-9f96-086c3f49614f","","holdpoint","not-started","","","TRUE","TRUE","QA","Evidence of Supply - 2No Parapet Protectors - Tower 02","EMAIL PM"
"65205735-513b-54e3-a872-bdeb7539deba","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Evidence of Supply - 2No Parapet Protectors - Tower 02","Photos taken of installed item"
"cf9bdc33-bb8a-5f5b-9e20-496f5453cd38","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Evidence of Supply - 2No Parapet Protectors - Tower 02","Installed as per PBI drawings supplied and manufacturer's requirements"
"055562a2-998f-4453-8446-66bea97eec52","","folder-normal","not-started","","step","TRUE","FALSE","Roof Access Requirements"
"9ed34a03-d187-4e0f-a20a-bc4e719a9471","","checklist-flat","not-started","Roof Access Requirements","checklist-flat","FALSE","FALSE","Roof Access Requirements","Roof Access Requirements"
"136e59d8-b9fa-5641-9337-29a67935b460","","checkpoint-status","not-started","","","TRUE","TRUE","Roof Access Requirements","Roof Access Requirements","Brief description of roof access requirements for Recert Team"
"6fb1704c-ff67-4237-9703-601cb86660ab","","checklist-flat","not-started","SYS - PT - Practical Completion","checklist-flat","FALSE","FALSE","Practical Completion"
"8248f302-8a51-5b8d-951d-bccc12686ddc","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Practical Completion","System installed and ready for review from Project Manager."
"1a2870f1-c551-5137-8591-06c4a23b62d6","","holdpoint","no-status-not-started","","","TRUE","TRUE","Practical Completion","Request Review to PM"
"7a692521-b79a-5be6-8fe3-32218d8e6ab2","","checkpoint-status","not-started","","","TRUE","TRUE","Practical Completion","Project Manager has reviewed, checked and approved system."
"87c2fff0-804e-5ff2-8c87-6af1e20eb796","","checkpoint-status","not-started","","","TRUE","TRUE","Practical Completion","PM to send to PBI admin to close out and archive"
"6145125f-a399-529a-a9d8-2d2230f59ee2","","holdpoint","not-started","","","TRUE","TRUE","Practical Completion","Send to PBI Admin"
