"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2969c12f-b90a-5eec-a836-5d63a70f9d3b","","checklist-flat","work-in-progress","Project Details","checklist-flat","FALSE","FALSE","Project Details"
"6d506d64-3a3f-499a-b827-4fc9eba80496","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","QA - Mechanical  Inspections"
"aee5ba26-0c95-4260-af85-f02ea979c7e5","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","HORTICULTURAL SERVICES & GROUND MAINTENANCE 2","HR2 Fire Trench Pipe Riser Installation Checklist"
"a3d7566d-131f-5fab-8ea9-85c153deb91f","","checklist-flat","pass","Trench Pipe Riser Installation Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","HORTICULTURAL SERVICES & GROUND MAINTENANCE 2","HR2 Fire Trench Pipe Riser Installation Checklist","Trench Pipe Riser Installation Checklist"
"144eb4c0-8476-4981-8b06-abab7bb4660c","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","HORTICULTURAL SERVICES & GROUND MAINTENANCE 2","HR2 Fire Pressure Test Report QCC-01.01 "
"e7650db8-79a4-5000-ac32-812dd28a98cd","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","HORTICULTURAL SERVICES & GROUND MAINTENANCE 2","HR2 Fire Pressure Test Report QCC-01.01 ","Pressure Test Report QCC-01.01"
"29f8f1d1-af8b-438a-b47e-9f695e14cac3","","folder-progress","pass","","checklist","TRUE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","TANK FARM"
"e0fa4185-3c7a-4f2d-b3aa-dc38c7f540a5","","folder-progress","pass","","checklist","TRUE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","TANK FARM","TF Electrical and Communications Conduit Trench Riser Installation checklist."
"2f18e22d-cff1-5fd7-ab0d-352775760d0a","","checklist-flat","pass"," Electrical and Communications Conduit Trench Riser Installation checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","TANK FARM","TF Electrical and Communications Conduit Trench Riser Installation checklist.","Electrical and Communications Conduit Trench Riser Installation checklist"
"fd7aad57-2157-56d4-ac6c-4a234ebb0d28","","checklist-flat","pass"," Electrical and Communications Conduit Trench Riser Installation checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","TANK FARM","TF Electrical and Communications Conduit Trench Riser Installation checklist.","Additional Communications Conduit Trench Riser Installation checklist"
"62f1e9d7-c052-4b3a-91ab-5ded0efff688","","folder-progress","pass","","checklist","TRUE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","TANK FARM","TF 450 Site Supply DCW Trench Pipe Riser Installation Checklist"
"d11b7d7e-10fd-5ff1-8d64-c7cd62aee2e5","","checklist-flat","pass","Trench Pipe Riser Installation Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","TANK FARM","TF 450 Site Supply DCW Trench Pipe Riser Installation Checklist","Trench Pipe Riser Installation Checklist"
"15f9a58b-8bf6-42bd-8c27-74abb8ee9a13","","folder-progress","pass","","checklist","TRUE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","TANK FARM","TF 450 Site Supply DCW Pressure Test Report QCC-01.01"
"f8ab2e29-6088-5841-8072-fdde8e81e298","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","TANK FARM","TF 450 Site Supply DCW Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"da093bc1-c5f6-4082-b425-76c3a3ca4b69","folder-progress has incorrect meta.stepType folder-normal","folder-progress","pass","","checklist","TRUE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","TANK FARM"," TF 280 Incoming Water Supply DCW Trench Pipe Riser Installation Checklist"
"2cecad3e-a49d-564f-b597-3e0a72effe77","","checklist-flat","pass","Trench Pipe Riser Installation Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","TANK FARM"," TF 280 Incoming Water Supply DCW Trench Pipe Riser Installation Checklist","Trench Pipe Riser Installation Checklist"
"2712096c-7175-48a7-ae4b-b4b550bc98b8","folder-progress has incorrect meta.stepType folder-normal","folder-progress","pass","","checklist","TRUE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","TANK FARM"," TF 280 Incoming Water Supply DCW Pressure Test Report QCC-01.01"
"8b56087d-9fe2-5662-936c-7541ce390934","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","TANK FARM"," TF 280 Incoming Water Supply DCW Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"76210c41-2844-44a3-b8c4-7a29163f0978","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","OPERATIONS, SUPPORT & CENTRAL"
"f0e2907b-6926-4fd1-9d97-6adbfe5ab466","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","OPERATIONS, SUPPORT & CENTRAL","OPS HHW & CHW Trench Pipe Riser Installation"
"87edde74-ef0d-5641-9f85-ba9b1461af1e","","checklist-flat","pass","Trench Pipe Riser Installation Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","OPERATIONS, SUPPORT & CENTRAL","OPS HHW & CHW Trench Pipe Riser Installation","Trench Pipe Riser Installation Checklist"
"5954bc8a-b6da-4296-9d51-f1f4c1dbe127","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","OPERATIONS, SUPPORT & CENTRAL","OPS HHW Flow  Pressure Test Report QCC-01.01"
"972ec65f-aa38-5d09-a3c9-8e4af8689f67","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","OPERATIONS, SUPPORT & CENTRAL","OPS HHW Flow  Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"026f3c33-8360-491c-b32a-58cf0db073e0","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","OPERATIONS, SUPPORT & CENTRAL","OPS HHW Return  Pressure Test Report QCC-01.01"
"c29db1c3-7898-57f4-8d5f-0575eff5f4cb","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","OPERATIONS, SUPPORT & CENTRAL","OPS HHW Return  Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"500bd637-f182-4fd2-a323-3c852c4c8133","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","OPERATIONS, SUPPORT & CENTRAL","OPS CHW Return Pressure Test Report QCC-01.01"
"7ff90f32-f3c5-57bd-87c5-f2e4c20a5f3e","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","OPERATIONS, SUPPORT & CENTRAL","OPS CHW Return Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"87b43cd9-a5ce-4d86-8c95-4da946d51fb3","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","OPERATIONS, SUPPORT & CENTRAL","OPS CHW Return Pressure Test Report QCC-01.01"
"1ea0d0df-82c1-545c-abbf-8167d40dbfde","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","OPERATIONS, SUPPORT & CENTRAL","OPS CHW Return Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"6d59ea0f-a999-40a6-b79e-062c469a0f6a","folder-progress has incorrect meta.stepType folder-normal","folder-progress","pass","","checklist","TRUE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers"," CENTRAL KITCHEN FACILITY "
"d0e3f8e3-55f5-55d3-aab2-244549e5a492","","checklist-flat","pass","Trench Pipe Riser Installation Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers"," CENTRAL KITCHEN FACILITY "," KIT Fire Trench Pipe Riser Installation Checklist"
"96f0987c-48ad-5217-a69e-7ab4a5f02ec3","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers"," CENTRAL KITCHEN FACILITY ","KIT Fire Pressure Test Report QCC-01.01"
"f9990e47-3469-53f0-805e-8a3b75272b5e","","checklist-flat","pass","Trench Pipe Riser Installation Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers"," CENTRAL KITCHEN FACILITY ","KIT HHW & CHW Trench Pipe Riser Installation Checklist"
"92820064-5115-55a1-9492-d563ccd3a9bc","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers"," CENTRAL KITCHEN FACILITY ","KIT HHW Flow Pressure Test Report QCC-01.01"
"d0738fb2-c812-527b-807d-2991391a0edf","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers"," CENTRAL KITCHEN FACILITY ","KIT HHW Return Pressure Test Report QCC-01.01"
"fb20d800-2f18-5a51-acfd-dbf987102c0f","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers"," CENTRAL KITCHEN FACILITY ","KIT CHW Flow Pressure Test Report QCC-01.01"
"356b7493-a4a5-56df-84e6-8147b2df0e94","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers"," CENTRAL KITCHEN FACILITY ","KIT CHW Return Pressure Test Report QCC-01.01"
"5b8a9216-a911-4edb-bba6-909221deede4","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","ACCOMODATION "
"ec6cb27b-ea0d-40bf-8001-3ebf5dee52aa","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","ACCOMODATION ","ACCOMODATION 3 WET FIRE RETICULATION"
"6e53dd6a-c6a6-5bb0-b0e0-aa4f3470bac9","","checklist-flat","work-in-progress","Combined Services HDPE Fire Pipework Installation","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","ACCOMODATION ","ACCOMODATION 3 WET FIRE RETICULATION","A03 Wet Fire Reticulation Building Riser"
"d23f59d4-f08f-4447-ac82-170ebbb6c68a","","folder-progress","no-status-not-started","","checklist","TRUE","FALSE","QA - Mechanical  Inspections","Combined Services In-ground Pipework "
"de5b2495-8786-4bf6-97d6-d101ff1b4de4","","folder-progress","no-status-not-started","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","Combined Services In-ground Pipework ","Superseded"
"d9fcd53b-f186-4a6d-9d6c-b04d72d292d6","","folder-progress","no-status-not-started","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","Combined Services In-ground Pipework ","Superseded"
"2d91b17b-526d-412f-aee8-5b2eb554eb4e","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","QA - Mechanical  Inspections","Combined Services In-ground Conduits "
"233d9f55-02bf-4b87-9c3b-f3d14e2dd1a0","","folder-progress","not-started","","checklist","TRUE","FALSE","QA - Mechanical  Inspections","Combined Services In-ground Conduits "," Area 1"
"53d9827a-9352-5814-b9a1-39e1c8139d59","","checklist-flat","not-started","Communications Underground Conduits Installation checklist V2","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","Combined Services In-ground Conduits "," Area 1","Communications Underground Conduits Installation checklist V2"
"954187b6-5e5c-412c-9a5b-57daf88337c7","","folder-progress","not-started","","checklist","TRUE","FALSE","QA - Mechanical  Inspections","Combined Services In-ground Conduits "," Area 2"
"87e3e499-495a-5160-8335-e61a126af540","","checklist-flat","not-started","Communications Underground Conduits Installation checklist V2","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","Combined Services In-ground Conduits "," Area 2","Communications Underground Conduits Installation checklist V2"
"c69c4cb1-ba20-4825-9940-d52a51fc45b5","","folder-progress","pass","","checklist","TRUE","FALSE","QA - Mechanical  Inspections","Combined Services In-ground Conduits "," Area 3"
"da8b0f2f-3c16-516f-9029-97c9728b84aa","","checklist-flat","pass","Electrical and Communications Conduit  Installation ","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","Combined Services In-ground Conduits "," Area 3","13.08.2020 - North East Perimeter Wall Comms"
"98499892-4182-4912-b689-662b9366d914","","folder-progress","not-started","","checklist","TRUE","FALSE","QA - Mechanical  Inspections","Combined Services In-ground Conduits "," Area 4"
"dc47a00a-ed04-58c6-9f9d-ad4e7931590b","","checklist-flat","no-status-not-started","Project Documentation","checklist-flat","TRUE","TRUE","QA - Mechanical  Inspections","Combined Services In-ground Conduits "," Area 4","Document: Area 4 Mark Ups"
"973557f2-72ab-5529-9f18-0424da04cb5e","","checklist-flat","not-started","Communications Underground Conduits Installation checklist V2","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","Combined Services In-ground Conduits "," Area 4","Communications Underground Conduits Installation checklist V2"
"220c38f5-a1cb-4037-aca4-04b283c7e169","","folder-progress","not-started","","checklist","TRUE","FALSE","QA - Mechanical  Inspections","Combined Services In-ground Conduits "," Area 5"
"45ae6fca-0983-5ff4-9746-5cd3ec36535a","","checklist-flat","not-started","Communications Underground Conduits Installation checklist V2","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","Combined Services In-ground Conduits "," Area 5","Communications Underground Conduits Installation checklist V2"
"b1610587-9652-4f2f-9b02-7ee517e50a05","","folder-progress","not-started","","checklist","TRUE","FALSE","QA - Mechanical  Inspections","Combined Services In-ground Conduits "," Area 6"
"e66818d7-bd50-5c6c-b3ac-e943787089e5","","checklist-flat","not-started","Communications Underground Conduits Installation checklist V2","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","Combined Services In-ground Conduits "," Area 6","Communications Underground Conduits Installation checklist V2"
"a764f851-056b-4c16-85ad-c5ec6dcf5f5a","","folder-progress","pass","","checklist","TRUE","FALSE","QA - Mechanical  Inspections","Combined Services In-ground Conduits "," Area 7"
"5ab08528-8223-5fcf-b9ca-7f85d6d22010","","checklist-flat","pass","Electrical and Communications Conduit  Installation ","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","Combined Services In-ground Conduits "," Area 7","24.07.2020 - Perimeter Rd Gatehouse North Comms"
"053cdc0d-c4d2-4077-b01a-9a28bdfd0eb5","","folder-progress","not-started","","checklist","TRUE","FALSE","QA - Mechanical  Inspections","Combined Services In-ground Conduits "," Area 8"
"7c16a99d-3dd9-5959-ad96-2c776593705b","","checklist-flat","not-started","Communications Underground Conduits Installation checklist V2","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","Combined Services In-ground Conduits "," Area 8","Communications Underground Conduits Installation checklist V2"
"f97fee29-8c2e-4486-9182-e2945f282f6b","","folder-progress","not-started","","checklist","TRUE","FALSE","QA - Mechanical  Inspections","Combined Services In-ground Conduits "," Area 9"
"17b33168-79f3-5232-a883-e5d9017f07d8","","checklist-flat","not-started","Communications Underground Conduits Installation checklist V2","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","Combined Services In-ground Conduits "," Area 9","Communications Underground Conduits Installation checklist V2"
"9dbc9384-1abd-4c80-84fd-32ec47f5aef2","","folder-progress","not-started","","checklist","TRUE","FALSE","QA - Mechanical  Inspections","Combined Services In-ground Conduits "," Area 10"
"41e075ff-6530-5ba6-ab0e-a2e9d87d050d","","checklist-flat","not-started","Communications Underground Conduits Installation checklist V2","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","Combined Services In-ground Conduits "," Area 10","Communications Underground Conduits Installation checklist V2"
"07ee23ee-fbb5-45ab-b928-5bd81d8aa468","","folder-progress","pass","","checklist","TRUE","FALSE","QA - Mechanical  Inspections","Combined Services In-ground Conduits "," Area 11"
"415c82e8-7611-5480-b372-3b9d3ccb6502","","checklist-flat","pass","Electrical and Communications Conduit  Installation ","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","Combined Services In-ground Conduits "," Area 11","10.08.2020 - South UT1 Comms"
"05578ef6-e669-5214-a5be-4605af0e44e5","","checklist-flat","pass","Electrical and Communications Conduit  Installation ","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","Combined Services In-ground Conduits "," Area 11","20.08.2020 - East STA & Carpark Part 1 Comms"
"884de46f-17be-5eed-a22b-d48e3d08a4f5","","checklist-flat","pass","Electrical and Communications Conduit  Installation ","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","Combined Services In-ground Conduits "," Area 11","11.09.2020 - East STA & Carpark Part 2 Comms"
